#data file
param n:= 21;
param T:= 2;
param a:= 1 450
2 1000;

param d:= 1 0 
2 417.5618047
3 395.2448003
4 402.2849442
5 412.2857206
6 435.5818551
7 390.4777256
8 393.4175978
9 440.5854454
10 419.1405559
11 408.7839419
12 353.4362689
13 384.0936097
14 362.2215263
15 358.3541565
16 363.0024021
17 363.1415777
18 363.4452207
19 360.3461927
20 374.5356088
21 356.4725467;

param cost :1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21:=
1 0	65	95	107	123	128	126	136	157	206	316	26	95	71	127	23	128	86	160	108	143
2 65	0	140	47	83	93	70	107	128	168	276	46	104	92	23	95	96	168	116	71	88
3 95	140	0	171	221	231	193	238	258	291	399	133	242	214	131	173	252	206	217	208	227
4 107	47	171	0	73	87	27	67	87	125	233	89	114	43	56	139	63	211	73	53	45
5 123	83	221	73	0	15	76	29	51	174	272	118	66	34	103	168	12	212	122	22	93
6 128	93	231	87	15	0	90	42	53	188	285	128	61	47	113	178	25	222	136	34	106
7 126	70	193	27	76	90	0	70	90	100	208	112	138	47	79	161	66	234	48	76	23
8 136	107	238	67	29	42	70	0	27	167	265	142	104	18	135	193	18	236	115	41	86
9 157	128	258	87	51	53	90	27	0	148	240	172	111	38	155	212	39	256	118	60	106
10 206	168	291	125	174	188	100	167	148	0	117	210	236	145	177	259	164	332	58	174	81
11 316	276	399	233	272	285	208	265	240	117	0	318	334	243	285	367	262	439	166	272	189
12 26	46	133	89	118	128	112	142	172	210	318	0	134	130	51	47	132	118	159	100	133
13 95	104	242	114	66	61	138	104	111	236	334	134	0	95	125	151	74	194	184	68	154
14 71	92	214	43	34	47	47	18	38	145	243	130	95	0	112	178	23	228	92	33	63
15 127	23	131	56	103	113	79	135	155	177	285	51	125	112	0	99	115	187	135	89	98
16 23	95	173	139	168	178	161	193	212	259	367	47	151	178	99	0	170	73	204	146	179
17 128	96	252	63	12	25	66	18	39	164	262	132	74	23	115	170	0	224	112	29	82
18 86	168	206	211	212	222	234	236	256	332	439	118	194	228	187	73	224	0	279	199	252
19 160	116	217	73	122	136	48	115	118	58	166	159	184	92	135	204	112	279	0	124	29
20 108	71	208	53	22	34	76	41	60	174	272	100	68	33	89	146	29	199	124	0	88
21 143	88	227	45	93	106	23	86	106	81	189	133	154	63	98	179	82	252	29	88	0;
